Frame,Class,Class_ID,X,Y
66,Chou,25,459.7635,605.1543
66,Fanny,16,396.1689,601.7559
66,Wanwan,88,28.0193,88.9011
68,Lapu-Lapu,36,608.6555,688.7592
68,Novaria,119,274.0425,421.7377
68,Masha,87,628.5236,610.1663
68,Claude,64,116.0727,71.4952
68,Valentina,110,357.8871,397.4137
68,Chou,25,457.439,606.3269
68,Fanny,16,395.006,603.5678
68,Wanwan,88,27.9223,88.9622
70,Lapu-Lapu,36,607.3942,689.2079
70,Novaria,119,274.0514,424.4351
70,Valentina,110,360.0408,397.6694
70,Masha,87,627.9782,612.3623
70,Claude,64,117.908,72.2616
70,Chou,25,455.16,607.0651
70,Fanny,16,395.9063,605.5496
70,Wanwan,88,27.7472,88.7417
72,Lapu-Lapu,36,607.602,689.7314
72,Valentina,110,360.082,398.8369
72,Masha,87,627.5068,614.8484
72,Claude,64,117.6871,71.1187
72,Novaria,119,274.921,430.7193
72,Chou,25,452.7085,607.8065
72,Wanwan,88,28.1535,87.6815
72,Fanny,16,395.1913,607.9283
74,Lapu-Lapu,36,609.3604,690.6967
74,Valentina,110,360.3429,398.4643
74,Claude,64,115.7313,70.4297
74,Masha,87,627.3134,616.4908
74,Novaria,119,275.3751,433.4967
74,Chou,25,450.9725,608.8493
74,Wanwan,88,28.64,86.8782
74,Fanny,16,394.9541,609.8586
76,Lapu-Lapu,36,610.5156,690.9982
76,Valentina,110,360.3452,398.5313
76,Claude,64,115.3827,70.979
76,Masha,87,627.1719,617.4759
76,Chou,25,449.5667,608.9057
76,Novaria,119,275.2933,434.1778
76,Wanwan,88,28.5835,86.1699
76,Fanny,16,390.3903,609.904
78,Lapu-Lapu,36,611.2954,691.5244
78,Valentina,110,360.4311,398.4767
78,Claude,64,114.9436,70.8699
78,Chou,25,449.5148,610.6476
78,Novaria,119,275.6332,434.5419
78,Masha,87,627.0739,618.9011
78,Wanwan,88,28.4917,86.2292
80,Lapu-Lapu,36,610.9387,691.3968
80,Chou,25,445.962,611.196
80,Valentina,110,359.6263,397.6065
80,Claude,64,113.2307,73.0785
80,Novaria,119,276.5426,434.6022
80,Masha,87,627.7643,620.1604
80,Wanwan,88,30.8963,86.1386
82,Lapu-Lapu,36,609.7355,690.8987
82,Chou,25,443.6807,611.9064
82,Claude,64,112.2378,74.5307
82,Novaria,119,276.8082,434.8128
82,Valentina,110,359.6442,397.5245
82,Masha,87,627.251,622.0632
82,Wanwan,88,30.8782,85.7664
84,Lapu-Lapu,36,608.1701,690.9582
84,Claude,64,111.5927,76.2539
84,Novaria,119,277.2088,435.6945
84,Chou,25,439.5894,613.2421
84,Valentina,110,359.6377,397.4753
84,Masha,87,627.874,622.6624
84,Wanwan,88,27.051,85.2161
86,Lapu-Lapu,36,605.7697,690.5579
86,Chou,25,438.5316,614.6639
86,Claude,64,111.7432,76.4818
86,Novaria,119,278.713,437.3756
86,Masha,87,627.7376,624.6587
86,Valentina,110,361.7528,396.0167
86,Wanwan,88,31.0248,84.5094
88,Lapu-Lapu,36,602.8862,690.3067
88,Claude,64,111.7521,76.4191
88,Chou,25,437.0083,614.3851
88,Valentina,110,363.7162,395.058
88,Novaria,119,279.2999,439.2822
88,Masha,87,627.199,626.264
88,Wanwan,88,30.8266,84.4396
90,Lapu-Lapu,36,601.5858,690.2167
90,Claude,64,111.7414,76.4987
90,Valentina,110,365.0448,394.1541
90,Novaria,119,280.8562,439.5829
90,Masha,87,626.8295,628.0669
90,Chou,25,433.664,615.074
90,Wanwan,88,30.8516,84.4295
92,Lapu-Lapu,36,597.6719,690.0571
92,Claude,64,111.7582,76.4133
92,Chou,25,432.1644,615.4978
92,Masha,87,627.3296,630.4043
92,Novaria,119,283.2212,438.9269
92,Valentina,110,366.1,391.6328
92,Wanwan,88,30.8165,84.2838
94,Lapu-Lapu,36,595.3912,690.0646
94,Claude,64,111.7876,76.4188
94,Chou,25,430.5401,616.1949
94,Novaria,119,284.9416,441.9835
94,Masha,87,627.8028,632.0186
94,Valentina,110,368.4028,390.5277
94,Wanwan,88,30.8392,84.2179
96,Lapu-Lapu,36,595.494,690.5954
96,Claude,64,110.8519,77.8972
96,Chou,25,430.1109,616.3215
96,Masha,87,628.7774,633.6504
96,Novaria,119,285.8099,442.3671
96,Valentina,110,370.7837,389.0399
96,Wanwan,88,31.1913,84.1911
98,Lapu-Lapu,36,596.9446,691.0453
98,Claude,64,109.6077,80.9154
98,Chou,25,429.4926,616.2296
98,Valentina,110,372.0269,387.8487
98,Masha,87,629.0652,635.4464
98,Novaria,119,286.4781,444.2018
98,Wanwan,88,30.9812,84.1028
100,Lapu-Lapu,36,598.4719,691.7245
100,Chou,25,429.4655,615.7741
100,Valentina,110,372.4247,384.8729
100,Claude,64,107.6068,81.8148
100,Novaria,119,287.27,442.5049
100,Masha,87,630.0943,636.5455
100,Wanwan,88,30.7683,84.1053
102,Lapu-Lapu,36,600.4164,691.5835
102,Chou,25,429.0891,615.3464
102,Claude,64,106.5286,82.8175
102,Valentina,110,372.6639,383.6314
102,Novaria,119,287.7244,440.0122
102,Masha,87,631.3799,637.6761
102,Wanwan,88,31.0724,84.1609
102,Fredrinn,116,374.792,619.4865
104,Chou,25,429.3237,615.2748
104,Lapu-Lapu,36,598.4063,690.9442
104,Claude,64,105.383,83.7031
104,Valentina,110,372.4135,382.6276
104,Masha,87,632.7058,639.2234
104,Novaria,119,288.0264,437.7641
104,Wanwan,88,30.9767,84.1067
104,Fredrinn,116,374.6216,619.5027
106,Chou,25,429.4426,615.2191
106,Claude,64,104.0028,84.3436
106,Valentina,110,372.5144,382.4758
106,Masha,87,634.4398,640.3035
106,Lapu-Lapu,36,596.7632,689.879
106,Novaria,119,286.89,437.0602
106,Wanwan,88,30.7332,84.0436
106,Fredrinn,116,373.6314,619.8637
108,Chou,25,429.6311,615.0722
108,Masha,87,636.1751,641.3141
108,Claude,64,101.9398,85.6279
108,Valentina,110,372.4683,382.5274
108,Lapu-Lapu,36,595.4997,688.4007
108,Novaria,119,286.1803,435.4559
108,Fredrinn,116,373.4693,619.6981
108,Wanwan,88,30.5588,83.8659
110,Chou,25,429.5101,615.0556
110,Masha,87,635.7253,641.2213
110,Valentina,110,372.5553,382.6592
110,Claude,64,100.0727,85.9055
110,Lapu-Lapu,36,595.8789,688.5771
110,Novaria,119,286.9167,433.436
110,Fredrinn,116,373.289,619.7902
110,Wanwan,88,30.3937,83.5891
112,Chou,25,428.9433,614.7867
112,Masha,87,635.9525,641.2852
112,Valentina,110,372.5489,382.5472
112,Claude,64,99.6647,85.865
112,Lapu-Lapu,36,597.4338,689.5148
112,Novaria,119,288.8396,427.7846
112,Fredrinn,116,373.804,619.9589
112,Wanwan,88,30.304,83.6526
114,Chou,25,429.8082,612.8226
114,Masha,87,636.1034,641.1341
114,Lapu-Lapu,36,599.7148,689.8777
114,Valentina,110,372.628,382.3998
114,Claude,64,99.6131,85.8833
114,Novaria,119,289.7232,426.0352
114,Fredrinn,116,375.3101,619.9592
114,Wanwan,88,30.4548,83.7227
116,Lapu-Lapu,36,601.3932,690.0317
116,Chou,25,431.1433,612.0863
116,Valentina,110,372.6423,382.3463
116,Masha,87,636.3841,641.0447
116,Claude,64,99.4754,85.8698
116,Fredrinn,116,375.0008,619.8426
116,Novaria,119,289.582,426.6842
116,Wanwan,88,30.8511,84.1975
118,Valentina,110,372.6139,382.4568
118,Lapu-Lapu,36,603.5065,690.1666
118,Claude,64,99.5306,85.9047
118,Masha,87,636.5571,641.1079
118,Chou,25,433.2262,610.6945
118,Fredrinn,116,374.8196,619.7271
118,Novaria,119,289.4229,425.4037
118,Wanwan,88,30.7481,84.2544
120,Valentina,110,372.332,382.6628
120,Masha,87,636.1496,641.0116
120,Claude,64,99.5376,85.8587
120,Lapu-Lapu,36,604.0549,689.4128
120,Chou,25,435.3667,609.4906
120,Novaria,119,290.7257,425.4483
120,Fredrinn,116,372.9918,619.769
120,Wanwan,88,30.5294,84.6063
122,Masha,87,636.2177,639.6837
122,Claude,64,99.6703,86.1072
122,Lapu-Lapu,36,603.5187,688.1143
122,Valentina,110,373.4182,381.6256
122,Fredrinn,116,372.0264,619.7342
122,Chou,25,434.3831,609.0697
122,Novaria,119,293.6373,425.3686
122,Wanwan,88,30.4124,84.1329
124,Claude,64,98.6908,86.8964
124,Masha,87,636.2739,639.1234
124,Lapu-Lapu,36,605.6013,685.8712
124,Valentina,110,374.3204,379.4367
124,Chou,25,430.4697,608.8185
124,Fredrinn,116,371.0597,620.2318
124,Novaria,119,294.7692,424.2404
124,Chou,25,441.4927,607.9431
124,Wanwan,88,30.3705,83.8908
126,Masha,87,637.0648,637.8552
126,Claude,64,97.7895,88.4427
126,Valentina,110,375.0375,378.547
126,Lapu-Lapu,36,605.6846,685.6265
126,Fredrinn,116,370.4069,620.1637
126,Novaria,119,295.9624,423.9299
126,Chou,25,439.6169,607.9629
126,Chou,25,429.7215,608.7465
126,Wanwan,88,29.2564,83.7016
128,Masha,87,637.1789,635.9849
128,Claude,64,96.5768,89.8893
128,Fredrinn,116,368.35,620.1625
128,Lapu-Lapu,36,603.2705,683.1755
128,Valentina,110,374.5169,377.3206
128,Novaria,119,296.1131,422.8685
128,Wanwan,88,27.6887,85.3254
128,Chou,25,428.2417,609.2128
128,Fanny,16,470.4689,601.3213
130,Masha,87,638.6493,633.9398
130,Fredrinn,116,367.863,619.463
130,Claude,64,94.2696,91.3818
130,Lapu-Lapu,36,604.9116,682.587
130,Valentina,110,375.3793,376.0154
130,Novaria,119,296.4781,419.3421
130,Wanwan,88,27.9001,85.4595
130,Fanny,16,472.5074,602.4765
132,Fredrinn,116,367.4873,619.6653
132,Claude,64,94.3581,91.3569
132,Novaria,119,296.6308,415.0577
132,Lapu-Lapu,36,605.0088,682.0549
132,Masha,87,640.2495,632.8671
132,Valentina,110,375.144,374.4404
132,Wanwan,88,28.065,85.4269
132,Fanny,16,473.3585,603.0862
134,Fredrinn,116,366.416,619.0836
134,Claude,64,94.3896,91.3381
134,Valentina,110,375.384,374.2165
134,Masha,87,642.239,631.7724
134,Novaria,119,296.9992,413.4959
134,Lapu-Lapu,36,604.7083,681.6259
134,Wanwan,88,27.9917,85.4279
134,Chou,25,448.9751,607.8765
136,Fredrinn,116,365.0818,618.1933
136,Claude,64,94.4819,91.3446
136,Valentina,110,375.2525,374.5486
136,Lapu-Lapu,36,605.1141,682.2714
136,Masha,87,642.1945,632.2461
136,Novaria,119,296.8365,410.1482
136,Chou,25,448.5833,607.3695
136,Wanwan,88,28.0818,85.5293
138,Fredrinn,116,363.3089,617.5172
138,Chou,25,444.1341,606.4641
138,Claude,64,94.4788,91.3206
138,Novaria,119,298.0652,408.6709
138,Valentina,110,375.5491,374.3363
138,Lapu-Lapu,36,605.1112,681.8497
138,Masha,87,641.8398,634.0919
138,Wanwan,88,28.1203,85.5454
140,Fredrinn,116,361.605,616.8337
140,Novaria,119,296.3421,406.2654
140,Claude,64,94.5979,91.4018
140,Chou,25,442.0814,604.8792
140,Valentina,110,375.8302,374.4143
140,Lapu-Lapu,36,603.5051,681.4314
140,Masha,87,642.0182,636.5042
140,Wanwan,88,28.4007,86.2393
140,Fanny,16,482.8382,602.7236
142,Fredrinn,116,359.4333,616.7163
142,Claude,64,94.639,91.3372
142,Novaria,119,296.3116,404.9333
142,Lapu-Lapu,36,600.4427,680.8804
142,Chou,25,435.1358,604.7212
142,Valentina,110,375.9588,374.6139
142,Masha,87,642.7307,638.7173
142,Wanwan,88,28.344,86.1683
142,Fanny,16,483.8501,601.5705
144,Fredrinn,116,357.7998,615.4207
144,Claude,64,94.5264,92.2009
144,Chou,25,430.6517,605.1062
144,Novaria,119,295.9884,403.4926
144,Lapu-Lapu,36,597.9216,680.6955
144,Fanny,16,484.157,599.9218
144,Masha,87,642.988,639.7983
144,Valentina,110,376.1905,374.6712
144,Wanwan,88,28.2038,86.1034
146,Fanny,16,484.6131,598.539
146,Claude,64,90.7572,93.1989
146,Fredrinn,116,356.7588,614.3014
146,Valentina,110,376.6391,374.4386
146,Lapu-Lapu,36,595.1838,680.2644
146,Chou,25,428.2421,603.7732
146,Novaria,119,295.4089,399.951
146,Masha,87,642.8547,641.1551
146,Wanwan,88,27.7971,87.6531
146,Minotaur,18,317.8592,452.1989
148,Fanny,16,485.5709,597.8123
148,Claude,64,89.4073,93.7272
148,Chou,25,426.7696,601.9568
148,Fredrinn,116,355.1226,612.1706
148,Valentina,110,377.1515,372.873
148,Novaria,119,294.5391,397.8096
148,Wanwan,88,27.5157,87.6497
148,Lapu-Lapu,36,593.6767,679.8336
148,Masha,87,644.2273,642.8755
148,Minotaur,18,319.9591,451.2387
150,Chou,25,426.5417,601.6815
150,Claude,64,87.5942,93.9816
150,Fanny,16,486.2931,596.5885
150,Fredrinn,116,353.3299,611.4146
150,Novaria,119,292.6566,396.31
150,Valentina,110,377.5724,371.4019
150,Wanwan,88,27.2582,87.6885
150,Masha,87,645.4504,644.3536
150,Minotaur,18,324.8674,451.188
150,Lapu-Lapu,36,590.7665,678.5004
152,Chou,25,424.3775,599.7779
152,Fredrinn,116,351.7477,610.2973
152,Claude,64,86.2361,95.3096
152,Masha,87,644.955,643.6914
152,Fanny,16,485.8061,595.2269
152,Wanwan,88,27.5861,88.4188
152,Lapu-Lapu,36,590.2943,678.1961
152,Valentina,110,376.7216,370.1833
152,Minotaur,18,324.3863,448.5622
152,Novaria,119,291.9541,395.1249
154,Fredrinn,116,350.1558,609.0572
154,Chou,25,424.0611,598.6407
154,Masha,87,644.7119,643.5902
154,Valentina,110,375.5297,368.7479
154,Claude,64,84.2194,95.6904
154,Minotaur,18,325.2417,447.2266
154,Wanwan,88,27.6195,88.4129
154,Lapu-Lapu,36,589.4973,677.8679
154,Novaria,119,292.383,393.3223
154,Fanny,16,486.7694,594.7783
156,Lapu-Lapu,36,587.5221,677.2931
