Frame,Class,Class_ID,X,Y
30,Chou,25,452.8009,597.8011
30,Minotaur,18,261.3721,482.373
30,Claude,64,91.1611,43.2337
31,Fanny,16,423.4587,488.6953
31,Valentina,110,344.8488,391.8628
31,Novaria,119,284.5188,413.6006
31,Fredrinn,116,396.2898,607.5164
31,Lapu-Lapu,36,612.7946,688.3847
31,Chou,25,453.995,598.3128
31,Minotaur,18,261.7299,482.1058
31,Masha,87,636.03,609.0476
31,Claude,64,91.3542,43.6144
32,Fanny,16,421.9643,491.8585
32,Valentina,110,345.31,392.3836
32,Novaria,119,283.7253,413.7972
32,Chou,25,454.9934,598.1938
32,Lapu-Lapu,36,612.3038,688.7559
32,Fredrinn,116,398.3226,607.3821
32,Minotaur,18,262.2018,482.1864
32,Masha,87,635.3471,609.3348
32,Claude,64,91.8416,43.3862
33,Fanny,16,419.1968,493.1724
33,Valentina,110,346.8179,392.5092
33,Novaria,119,282.9269,413.8513
33,Chou,25,455.5876,598.0798
33,Lapu-Lapu,36,612.3315,688.93
33,Minotaur,18,263.2702,481.9513
33,Fredrinn,116,400.8794,606.7223
33,Masha,87,634.9897,609.1549
33,Claude,64,93.2461,45.4807
33,Wanwan,88,24.8068,99.0098
34,Valentina,110,346.7552,392.2071
34,Fanny,16,418.0416,494.3899
34,Novaria,119,282.8291,414.5366
34,Chou,25,455.8216,597.9913
34,Lapu-Lapu,36,612.7425,689.0185
34,Minotaur,18,263.6743,481.6139
34,Fredrinn,116,403.6809,606.5864
34,Masha,87,633.3111,609.1311
34,Claude,64,93.7256,45.7997
35,Valentina,110,347.9851,392.1554
35,Fanny,16,416.2515,496.379
35,Minotaur,18,263.7534,481.1005
35,Chou,25,457.213,597.9843
35,Lapu-Lapu,36,613.1717,689.162
35,Novaria,119,282.7307,415.5824
35,Fredrinn,116,407.2817,605.7292
35,Claude,64,94.6292,46.2727
35,Masha,87,632.6712,608.7784
35,Wanwan,88,25.726,97.4335
36,Valentina,110,348.8442,392.4798
36,Chou,25,458.0841,598.0945
36,Fanny,16,415.7609,498.8923
36,Lapu-Lapu,36,613.9576,689.1223
36,Minotaur,18,263.8723,480.3274
36,Novaria,119,282.4462,416.0013
36,Masha,87,632.3182,609.0383
36,Claude,64,94.4192,46.7024
36,Wanwan,88,25.6271,96.7772
36,Fredrinn,116,410.8856,605.4617
37,Chou,25,457.9055,598.1807
37,Valentina,110,349.6493,392.6048
37,Lapu-Lapu,36,615.0624,689.371
37,Fanny,16,415.8663,503.1813
37,Minotaur,18,264.2265,480.3592
37,Novaria,119,281.8646,416.3774
37,Claude,64,95.6601,47.5188
37,Masha,87,630.6985,608.8617
37,Wanwan,88,25.9731,96.0467
37,Fredrinn,116,411.1436,605.6837
38,Chou,25,457.8226,598.1317
38,Minotaur,18,264.1237,479.7787
38,Lapu-Lapu,36,615.8249,689.3124
38,Valentina,110,349.4609,392.7412
38,Fanny,16,414.0296,507.3995
38,Novaria,119,280.4337,415.614
38,Claude,64,95.9693,48.0378
38,Masha,87,630.2811,608.4308
38,Wanwan,88,25.6967,95.9217
38,Fredrinn,116,411.4054,606.149
39,Chou,25,459.7039,598.4351
39,Minotaur,18,265.0673,479.0062
39,Lapu-Lapu,36,617.8364,689.383
39,Valentina,110,349.6421,393.1953
39,Novaria,119,277.0358,415.0795
39,Claude,64,97.3268,49.319
39,Fanny,16,412.2935,514.6186
39,Masha,87,629.8577,608.7131
39,Fredrinn,116,412.5785,607.3152
39,Wanwan,88,26.1056,95.8318
40,Chou,25,459.4699,598.4534
40,Lapu-Lapu,36,618.9514,689.3569
40,Minotaur,18,264.2223,477.8348
40,Valentina,110,349.97,393.9261
40,Fanny,16,411.4301,520.177
40,Claude,64,98.2588,49.8195
40,Novaria,119,276.1813,415.3598
40,Masha,87,630.5179,607.9629
40,Fredrinn,116,412.421,608.1661
40,Wanwan,88,26.1203,95.7675
41,Fanny,16,410.866,524.7233
41,Lapu-Lapu,36,619.1378,688.9971
41,Minotaur,18,265.3974,477.4999
41,Chou,25,459.06,598.2304
41,Valentina,110,350.3276,394.5471
41,Novaria,119,275.2424,414.9053
41,Claude,64,98.9166,50.0703
41,Masha,87,629.9302,607.7077
41,Wanwan,88,26.3041,96.0089
42,Lapu-Lapu,36,617.6479,688.6874
42,Minotaur,18,266.2341,477.518
42,Valentina,110,349.7125,395.6457
42,Chou,25,460.692,597.7535
42,Novaria,119,274.2621,415.5015
42,Claude,64,100.1176,50.7438
42,Fanny,16,408.4648,530.1039
42,Masha,87,629.1695,608.3862
42,Wanwan,88,25.104,96.4223
43,Lapu-Lapu,36,617.9165,688.5788
43,Chou,25,461.5776,598.0514
43,Minotaur,18,266.4388,477.3329
43,Valentina,110,349.5642,395.7545
43,Novaria,119,274.2147,415.2442
